ANONYMIZED BUSINESS,QUANTITY,Total Sales,count,Cluster,Classified
Business-0305,24,49170,21,2,High Value
Business-0308,3,15660,3,2,High Value
Business-0309,241,527357,40,2,High Value
Business-031e,31,66745,11,2,High Value
Business-0325,8,11014,7,2,High Value
Business-0335,11,19700,8,2,High Value
Business-0343,73,184811,48,2,High Value
Business-0348,2,9915,2,2,High Value
Business-0354,312,631164,135,2,High Value
Business-0357,130,263845,39,2,High Value
Business-036d,1,2105,1,2,High Value
Business-0384,325,639645,132,2,High Value
Business-0399,2,4070,2,2,High Value
Business-03a3,197,506695,163,2,High Value
Business-03ac,89,158677,83,2,High Value
Business-03b2,10,23706,7,2,High Value
Business-03bc,1,1530,1,2,High Value
Business-03e1,210,437357,204,2,High Value
Business-03e7,48,101418,17,2,High Value
Business-03fa,14,32600,13,2,High Value
Business-040a,30,54135,15,2,High Value
Business-040f,36,70239,36,2,High Value
Business-0434,1,2070,1,2,High Value
Business-0437,173,463896,26,2,High Value
Business-044c,58,82812,56,2,High Value
Business-045b,228,486546,177,2,High Value
Business-0463,9,20150,3,2,High Value
Business-046d,371,809111,339,2,High Value
Business-046f,2,2565,2,2,High Value
Business-0470,46,110615,36,2,High Value
Business-0471,7,21196,5,2,High Value
Business-0476,9,15470,9,2,High Value
Business-047d,2,9920,2,2,High Value
Business-048c,214,394335,88,2,High Value
Business-04ad,79,140105,67,2,High Value
Business-04ae,2,5385,2,2,High Value
Business-04b4,6,21950,5,2,High Value
Business-04b6,118,276066,79,2,High Value
Business-04ca,5,8575,1,2,High Value
Business-04d8,4,8025,4,2,High Value
Business-04e4,10,10725,2,2,High Value
Business-04e5,297,840270,145,2,High Value
Business-04f3,6,18913,6,2,High Value
Business-04fc,6,10555,6,2,High Value
Business-0508,2,6265,2,2,High Value
Business-051b,40,122875,2,2,High Value
Business-0523,1305,3290167,538,0,Low Value
Business-053b,61,75071,54,2,High Value
Business-054d,1,2245,1,2,High Value
Business-0569,12,20440,12,2,High Value
Business-0570,14,14565,12,2,High Value
Business-059a,1,1890,1,2,High Value
Business-059f,17,62190,5,2,High Value
Business-05a3,15,43890,11,2,High Value
Business-05c6,49,48095,28,2,High Value
Business-05d3,684,1445447,145,2,High Value
Business-05dc,8,11220,8,2,High Value
Business-05e0,6,4770,6,2,High Value
Business-05e5,97,174155,78,2,High Value
Business-05ff,60,126900,10,2,High Value
Business-0600,2,6385,2,2,High Value
Business-0610,179,356372,117,2,High Value
Business-0616,2,9740,1,2,High Value
Business-0630,1,2755,1,2,High Value
Business-0654,75,114594,11,2,High Value
Business-065e,30,22930,16,2,High Value
Business-067e,7,9635,7,2,High Value
Business-068f,3,5960,3,2,High Value
Business-0691,7,26780,5,2,High Value
Business-0693,77,128335,69,2,High Value
Business-0695,14,22845,14,2,High Value
Business-069c,30,59470,20,2,High Value
Business-069f,245,723034,196,2,High Value
Business-06ba,187,457066,172,2,High Value
Business-06c0,1,1520,1,2,High Value
Business-06c8,1,750,1,2,High Value
Business-06e6,45,86825,26,2,High Value
Business-06eb,10,17390,8,2,High Value
Business-06ed,729,1691513,241,0,Low Value
Business-06fe,87,149885,58,2,High Value
Business-0727,12,31115,6,2,High Value
Business-0728,13,27615,8,2,High Value
Business-072a,397,1006763,100,2,High Value
Business-0739,4,6610,4,2,High Value
Business-0748,6,10385,3,2,High Value
Business-0766,150,263240,16,2,High Value
Business-076a,300,744892,226,2,High Value
Business-076d,6,2630,6,2,High Value
Business-0779,15,13125,1,2,High Value
Business-077d,88,154935,10,2,High Value
Business-079b,17,17240,6,2,High Value
Business-079d,1,1500,1,2,High Value
Business-079e,41,51070,35,2,High Value
Business-07cf,62,126471,55,2,High Value
Business-07de,6134,16414443,1171,1,Medium Value
Business-07ed,3,4585,3,2,High Value
Business-07ef,241,640378,202,2,High Value
Business-07f2,10,15600,9,2,High Value
Business-07fe,80,171255,33,2,High Value
Business-0801,2,3225,2,2,High Value
Business-0825,1100,1998772,123,0,Low Value
Business-0827,2,3400,2,2,High Value
Business-082e,89,109470,68,2,High Value
Business-0836,1,2630,1,2,High Value
Business-083e,14,17980,13,2,High Value
Business-0849,3,4010,3,2,High Value
Business-0851,9,9485,5,2,High Value
Business-0855,746,1597641,287,0,Low Value
Business-0860,10,23125,5,2,High Value
Business-0872,54,102465,54,2,High Value
Business-087f,9,18775,8,2,High Value
Business-0890,5,7315,5,2,High Value
Business-0893,90,165181,36,2,High Value
Business-0897,1,3550,1,2,High Value
Business-089e,1076,2434854,566,0,Low Value
Business-08af,5,13840,2,2,High Value
Business-08c1,230,456644,184,2,High Value
Business-08df,8,3184,6,2,High Value
Business-08e0,77,163255,18,2,High Value
Business-08e2,1,6096,1,2,High Value
Business-08e3,8,6730,6,2,High Value
Business-08e8,263,447193,119,2,High Value
Business-0912,1,1470,1,2,High Value
Business-091b,5,17000,5,2,High Value
Business-0937,3,12290,3,2,High Value
Business-0940,4,10750,3,2,High Value
Business-094d,4,3910,4,2,High Value
Business-096b,2,2831,2,2,High Value
Business-096c,8,12240,5,2,High Value
Business-0976,5,21300,1,2,High Value
Business-0994,15,28825,3,2,High Value
Business-0997,2,8920,1,2,High Value
Business-0999,37,99721,16,2,High Value
Business-09a0,19,101515,19,2,High Value
Business-09ae,112,224172,112,2,High Value
Business-09c8,167,405156,156,2,High Value
Business-09dd,20,51520,16,2,High Value
Business-09e4,493,908293,114,2,High Value
Business-0a00,104,250827,38,2,High Value
Business-0a01,3,10010,2,2,High Value
Business-0a29,13,32940,13,2,High Value
Business-0a38,109,240315,108,2,High Value
Business-0a3a,1,875,1,2,High Value
Business-0a4a,5,21600,1,2,High Value
Business-0a69,16,31430,13,2,High Value
Business-0a7b,11,8304,11,2,High Value
Business-0a7c,1,255,1,2,High Value
Business-0a94,14,43404,14,2,High Value
Business-0aa2,2,2240,1,2,High Value
Business-0abf,7,4125,4,2,High Value
Business-0ad3,17,33735,4,2,High Value
Business-0ad5,80,41539,55,2,High Value
Business-0ad6,134,255751,116,2,High Value
Business-0ad8,2,350,2,2,High Value
Business-0af3,295,1091307,248,2,High Value
Business-0b10,15,5865,9,2,High Value
Business-0b16,57,62562,57,2,High Value
Business-0b18,35,44054,27,2,High Value
Business-0b45,2,3375,2,2,High Value
Business-0b49,6,14220,5,2,High Value
Business-0b4c,2,3790,2,2,High Value
Business-0b51,23,31450,22,2,High Value
Business-0b56,104,345830,82,2,High Value
Business-0b5e,6,12070,3,2,High Value
Business-0b68,296,1182482,204,2,High Value
Business-0b84,244,554414,141,2,High Value
Business-0b8f,1,1475,1,2,High Value
Business-0b90,10,30610,9,2,High Value
Business-0ba8,10,13875,10,2,High Value
Business-0bb2,30,56400,1,2,High Value
Business-0bc4,1,350,1,2,High Value
Business-0bcc,82,115805,75,2,High Value
Business-0bd4,200,194678,172,2,High Value
Business-0be1,109,200550,4,2,High Value
Business-0bf4,1,1790,1,2,High Value
Business-0bfe,3,8200,3,2,High Value
Business-0c1a,1,3550,1,2,High Value
Business-0c4c,67,152440,7,2,High Value
Business-0c4f,20,34600,1,2,High Value
Business-0c59,190,403372,93,2,High Value
Business-0c62,19,37365,5,2,High Value
Business-0c6b,2,3660,1,2,High Value
Business-0c75,222,627006,171,2,High Value
Business-0c76,4,7765,4,2,High Value
Business-0c77,150,448925,123,2,High Value
Business-0c88,190,380205,27,2,High Value
Business-0c98,795,1867208,547,0,Low Value
Business-0ca5,20,37550,3,2,High Value
Business-0ca8,595,1293882,382,0,Low Value
Business-0cab,2,4605,2,2,High Value
Business-0cbc,100,208747,22,2,High Value
Business-0ccc,10,16375,5,2,High Value
Business-0cce,4,4325,4,2,High Value
Business-0cd0,5,8420,4,2,High Value
Business-0cd5,150,290690,81,2,High Value
Business-0cd8,10,15350,10,2,High Value
Business-0ce3,10,27340,10,2,High Value
Business-0ce5,5,15170,5,2,High Value
Business-0cf6,13,28500,11,2,High Value
Business-0d1d,13,12992,13,2,High Value
Business-0d26,145,319218,133,2,High Value
Business-0d27,110,170360,74,2,High Value
Business-0d4b,2,3380,1,2,High Value
Business-0d4d,164,355350,163,2,High Value
Business-0d61,2921,7071488,935,1,Medium Value
Business-0d6c,9,5613,8,2,High Value
Business-0d8e,7,25090,2,2,High Value
Business-0d90,31,70219,5,2,High Value
Business-0d9c,224,410447,93,2,High Value
Business-0daa,926,2191963,214,0,Low Value
Business-0db4,10,33530,8,2,High Value
Business-0dbe,130,292959,107,2,High Value
Business-0dd3,10,14640,8,2,High Value
Business-0de1,19,49690,3,2,High Value
Business-0ded,1,1910,1,2,High Value
Business-0df2,17,68650,2,2,High Value
Business-0df8,35,61880,19,2,High Value
Business-0df9,1,1315,1,2,High Value
Business-0e00,2,3050,2,2,High Value
Business-0e06,103,175270,68,2,High Value
Business-0e1a,259,590650,55,2,High Value
Business-0e1c,9,37100,7,2,High Value
Business-0e22,227,414215,106,2,High Value
Business-0e43,16,24340,14,2,High Value
Business-0e51,6,21066,6,2,High Value
Business-0e56,765,1889581,557,0,Low Value
Business-0e5a,2,1500,2,2,High Value
Business-0e5b,4298,9085278,1925,1,Medium Value
Business-0e75,159,354975,78,2,High Value
Business-0e77,164,263621,113,2,High Value
Business-0e7c,67,98963,56,2,High Value
Business-0e8c,11,41770,9,2,High Value
Business-0e99,104,270930,32,2,High Value
Business-0e9b,2,2910,2,2,High Value
Business-0e9c,2,3495,2,2,High Value
Business-0ea3,774,1723048,286,0,Low Value
Business-0ea4,3,2580,3,2,High Value
Business-0ec1,7,6015,6,2,High Value
Business-0ec2,5,8520,4,2,High Value
Business-0ec5,126,118995,95,2,High Value
Business-0eca,14,35910,12,2,High Value
Business-0f13,7,8570,5,2,High Value
Business-0f1f,10,17280,10,2,High Value
Business-0f38,606,1406358,245,0,Low Value
Business-0f68,274,407433,117,2,High Value
Business-0f72,804,1918053,341,0,Low Value
Business-0f83,262,699055,120,2,High Value
Business-0f84,122,147242,111,2,High Value
Business-0f9a,3,11050,3,2,High Value
Business-0fbc,7,21555,5,2,High Value
Business-0fcb,13,24760,8,2,High Value
Business-0fdc,1,1835,1,2,High Value
Business-0ffa,13,20055,10,2,High Value
Business-1010,11,28540,5,2,High Value
Business-1016,99,140636,97,2,High Value
Business-101d,600,1204395,351,0,Low Value
Business-102d,75,188545,54,2,High Value
Business-1046,17,56580,5,2,High Value
Business-105e,2,3880,1,2,High Value
Business-1065,210,501690,158,2,High Value
Business-1074,87,134335,74,2,High Value
Business-1085,32,87245,12,2,High Value
Business-1088,2,3700,1,2,High Value
Business-108f,67,177384,56,2,High Value
Business-1092,10,25685,9,2,High Value
Business-10aa,48,81735,5,2,High Value
Business-10b1,2,2190,2,2,High Value
Business-10b2,1,1520,1,2,High Value
Business-10c6,200,458709,56,2,High Value
Business-10e2,1216,2901165,535,0,Low Value
Business-10e4,15,22435,10,2,High Value
Business-1120,4,6920,3,2,High Value
Business-1128,42,58660,19,2,High Value
Business-112a,7,4060,7,2,High Value
Business-112f,27,5175,6,2,High Value
Business-1139,6,14810,5,2,High Value
Business-113f,2,1700,2,2,High Value
Business-1152,92,230480,10,2,High Value
Business-1153,10,16751,9,2,High Value
Business-1162,24,80102,24,2,High Value
Business-1167,4,9240,2,2,High Value
Business-1187,6,6025,5,2,High Value
Business-118d,44,97070,43,2,High Value
Business-1192,5,10535,5,2,High Value
Business-11ac,2,4410,1,2,High Value
Business-11bf,7,8860,7,2,High Value
Business-11cb,3,2613,3,2,High Value
Business-11da,127,230617,80,2,High Value
Business-11e2,2,6425,2,2,High Value
Business-11f2,215,633869,98,2,High Value
Business-1200,28,59265,5,2,High Value
Business-121d,19,47410,12,2,High Value
Business-122c,1,2695,1,2,High Value
Business-1239,129,250005,87,2,High Value
Business-123d,50,90500,1,2,High Value
Business-1257,3,12670,2,2,High Value
Business-125e,5,4535,1,2,High Value
Business-1269,17,32825,15,2,High Value
Business-126a,75,123890,75,2,High Value
Business-126e,4,4235,4,2,High Value
Business-1274,97,224069,83,2,High Value
Business-128c,2,1280,1,2,High Value
Business-1297,4,11670,3,2,High Value
Business-12aa,23,49580,5,2,High Value
Business-12b6,5,7225,1,2,High Value
Business-12c2,56,92690,19,2,High Value
Business-12c6,19,53177,19,2,High Value
Business-12ca,1,6290,1,2,High Value
Business-12ce,32,58195,28,2,High Value
Business-12e1,101,287305,57,2,High Value
Business-12e8,13,32185,12,2,High Value
Business-12f7,5,6675,5,2,High Value
Business-12fa,2,1280,1,2,High Value
Business-1305,331,258106,103,2,High Value
Business-1320,1,85,1,2,High Value
Business-1343,2,3980,2,2,High Value
Business-1353,10,19310,8,2,High Value
Business-135d,63,106780,63,2,High Value
Business-1364,4,6830,4,2,High Value
Business-136e,32,81732,28,2,High Value
Business-1371,1073,2398404,24,2,High Value
Business-137f,1,1520,1,2,High Value
Business-1383,37,23552,17,2,High Value
Business-139e,7,2960,4,2,High Value
Business-13a7,18,25350,18,2,High Value
Business-13b0,19,58381,19,2,High Value
Business-13c7,1,4050,1,2,High Value
Business-13d2,87,264621,44,2,High Value
Business-13e1,4,8365,4,2,High Value
Business-13f5,183,218085,125,2,High Value
Business-13f9,290,568283,265,2,High Value
Business-140d,5,9725,1,2,High Value
Business-140e,2,9820,2,2,High Value
Business-1427,1,2040,1,2,High Value
Business-1447,1,1480,1,2,High Value
Business-1464,3,4480,2,2,High Value
Business-1474,5,21000,1,2,High Value
Business-147c,20,36380,18,2,High Value
Business-1488,205,406358,155,2,High Value
Business-1494,23,55300,20,2,High Value
Business-149d,37,121727,22,2,High Value
Business-14b6,227,358659,179,2,High Value
Business-14ca,444,940795,259,2,High Value
Business-14dd,316,614536,280,2,High Value
Business-14f0,118,202920,50,2,High Value
Business-14f7,86,191942,38,2,High Value
Business-1510,1786,3773836,267,0,Low Value
Business-151b,4,15450,2,2,High Value
Business-152a,102,234768,49,2,High Value
Business-153f,7,2925,2,2,High Value
Business-1548,199,322462,117,2,High Value
Business-1557,3,4430,3,2,High Value
Business-155f,2290,5909028,506,0,Low Value
Business-156e,67,125770,40,2,High Value
Business-159a,2,2700,2,2,High Value
Business-15b4,22,39445,16,2,High Value
Business-15bc,1025,2045173,696,0,Low Value
Business-15c4,49,95690,33,2,High Value
Business-15da,6,15683,6,2,High Value
Business-15f0,6,4880,2,2,High Value
Business-1619,25,41700,21,2,High Value
Business-1626,544,1201603,159,2,High Value
Business-1629,3,4440,3,2,High Value
Business-163b,3,12116,3,2,High Value
Business-1654,4,11350,4,2,High Value
Business-165b,2,9100,1,2,High Value
Business-1660,304,683556,69,2,High Value
Business-1661,119,297803,81,2,High Value
Business-166d,61,143259,19,2,High Value
Business-1670,34,92610,25,2,High Value
Business-167b,9,14225,9,2,High Value
Business-1688,2,5200,1,2,High Value
Business-168a,89,198670,49,2,High Value
Business-168d,5,11030,5,2,High Value
Business-1692,287,396457,70,2,High Value
Business-1696,1692,4156871,1035,0,Low Value
Business-1698,74,156015,28,2,High Value
Business-169b,3,1240,2,2,High Value
Business-16a4,17,63505,13,2,High Value
Business-16af,340,1548590,53,2,High Value
Business-16b6,35,78370,17,2,High Value
Business-16d4,3,6410,2,2,High Value
Business-16e7,1218,2142358,408,0,Low Value
Business-16ed,117,295155,44,2,High Value
Business-1710,44,76680,38,2,High Value
Business-1714,18,24601,10,2,High Value
Business-171a,79,201613,78,2,High Value
Business-173b,1,1480,1,2,High Value
Business-1746,15,27960,12,2,High Value
Business-1751,2,900,2,2,High Value
Business-175e,6,23620,6,2,High Value
Business-1783,22,33723,18,2,High Value
Business-1791,54,68015,44,2,High Value
Business-17a7,37,77600,34,2,High Value
Business-17a8,206,433740,23,2,High Value
Business-17ac,6,7585,5,2,High Value
Business-17b3,14,22400,14,2,High Value
Business-17ba,73,118765,48,2,High Value
Business-17c9,3,705,3,2,High Value
Business-17e2,3,5590,3,2,High Value
Business-17e6,37,74135,11,2,High Value
Business-17eb,6,22605,3,2,High Value
Business-17fe,46,82415,20,2,High Value
Business-1862,4,5039,4,2,High Value
Business-1866,558,1015409,375,0,Low Value
Business-186d,152,321644,99,2,High Value
Business-1873,1,250,1,2,High Value
Business-1885,6,9280,6,2,High Value
Business-1886,1450,4075497,663,0,Low Value
Business-188a,664,2317449,124,2,High Value
Business-1895,11,9075,6,2,High Value
Business-189b,10,27473,10,2,High Value
Business-189e,2,9640,2,2,High Value
Business-189f,12,63114,4,2,High Value
Business-18a2,41,131400,4,2,High Value
Business-18b9,2,4960,1,2,High Value
Business-18c3,6,10345,6,2,High Value
Business-18c8,49,57805,36,2,High Value
Business-18e4,129,273012,106,2,High Value
Business-18f1,1332,3419721,650,0,Low Value
Business-18fd,10,13415,10,2,High Value
Business-18fe,145,287958,113,2,High Value
Business-190a,76,85169,68,2,High Value
Business-193f,2,3370,2,2,High Value
Business-1944,65,141660,44,2,High Value
Business-194c,71,152451,70,2,High Value
Business-195b,138,368639,86,2,High Value
Business-196f,63,16047,12,2,High Value
Business-1977,8,18045,8,2,High Value
Business-1979,32,61880,29,2,High Value
Business-197e,2,4300,2,2,High Value
Business-198b,140,379032,104,2,High Value
Business-198d,5,10460,5,2,High Value
Business-1992,6,6740,3,2,High Value
Business-1993,72,117965,56,2,High Value
Business-199d,3,7010,3,2,High Value
Business-19a8,6,7547,6,2,High Value
Business-19ad,10,61950,1,2,High Value
Business-19b0,1,1470,1,2,High Value
Business-19bd,31,49604,17,2,High Value
Business-19c9,269,527798,246,2,High Value
Business-19d7,18,44990,6,2,High Value
Business-19dc,243,355178,185,2,High Value
Business-19e8,113,224223,102,2,High Value
Business-19f7,4,10220,4,2,High Value
Business-19f9,352,974623,286,2,High Value
Business-1a04,60,126101,24,2,High Value
Business-1a09,1,1510,1,2,High Value
Business-1a23,272,665415,72,2,High Value
Business-1a2d,38,69060,23,2,High Value
Business-1a3a,84,117900,69,2,High Value
Business-1a3d,25,29960,21,2,High Value
Business-1a5e,117,291471,22,2,High Value
Business-1a70,6,11410,4,2,High Value
Business-1a74,107,179008,95,2,High Value
Business-1a76,139,178133,113,2,High Value
Business-1a85,10,26530,7,2,High Value
Business-1a8b,502,1137206,73,2,High Value
Business-1a8c,41,138614,41,2,High Value
Business-1ab0,4,5365,3,2,High Value
Business-1ae1,16,61580,16,2,High Value
Business-1ae6,3,1920,3,2,High Value
Business-1ae8,2035,7142539,612,0,Low Value
Business-1af9,2,2735,2,2,High Value
Business-1afb,145,278395,75,2,High Value
Business-1afd,7,17965,2,2,High Value
Business-1b0f,4,12315,4,2,High Value
Business-1b17,9,16170,9,2,High Value
Business-1b21,13,17560,8,2,High Value
Business-1b2c,1,1845,1,2,High Value
Business-1b30,25,7530,14,2,High Value
Business-1b35,4,7110,2,2,High Value
Business-1b49,9,17031,8,2,High Value
Business-1b4d,1,1540,1,2,High Value
Business-1b52,1336,2998468,388,0,Low Value
Business-1b69,444,856405,359,0,Low Value
Business-1b7a,2,3190,2,2,High Value
Business-1b81,200,325715,178,2,High Value
Business-1b82,6,16350,6,2,High Value
Business-1b8b,18,40440,5,2,High Value
Business-1bb4,13,67330,4,2,High Value
Business-1bb7,67,159645,29,2,High Value
Business-1bbc,98,204661,83,2,High Value
Business-1bd3,34,64015,30,2,High Value
Business-1be8,106,231340,88,2,High Value
Business-1beb,8,17131,7,2,High Value
Business-1bf2,1,1260,1,2,High Value
Business-1bff,5,23760,3,2,High Value
Business-1c17,9,28995,5,2,High Value
Business-1c37,89,159015,8,2,High Value
Business-1c38,31,45051,25,2,High Value
Business-1c4f,1,1120,1,2,High Value
Business-1c6a,2,3040,2,2,High Value
Business-1c6c,179,436683,153,2,High Value
Business-1c70,335,620612,305,2,High Value
Business-1c78,12,54010,6,2,High Value
Business-1c79,16,35820,5,2,High Value
Business-1c8e,2,3780,2,2,High Value
Business-1c98,228,385092,180,2,High Value
Business-1cb1,39,73430,39,2,High Value
Business-1cbb,5,6410,3,2,High Value
Business-1cc4,1,1300,1,2,High Value
Business-1cca,15,36500,13,2,High Value
Business-1cdc,18,31305,5,2,High Value
Business-1ce5,1,2470,1,2,High Value
Business-1ce6,59,229955,16,2,High Value
Business-1cef,35,78209,35,2,High Value
Business-1d09,171,520135,131,2,High Value
Business-1d15,1,6450,1,2,High Value
Business-1d1c,1128,2169323,484,0,Low Value
Business-1d24,3,2030,3,2,High Value
Business-1d2d,1,90,1,2,High Value
Business-1d35,8,39075,7,2,High Value
Business-1d37,42,61822,19,2,High Value
Business-1d3e,3,5665,3,2,High Value
Business-1d4a,673,1547336,286,0,Low Value
Business-1d51,2,3360,2,2,High Value
Business-1d55,63,181379,48,2,High Value
Business-1d58,14,25830,14,2,High Value
Business-1d6e,16,16330,15,2,High Value
Business-1d8a,10,15310,10,2,High Value
Business-1d95,644,1978641,387,0,Low Value
Business-1d9e,3,5801,3,2,High Value
Business-1da1,10,18800,1,2,High Value
Business-1da2,1,4020,1,2,High Value
Business-1daa,72,115070,16,2,High Value
Business-1dc2,72,149057,67,2,High Value
Business-1dd4,25,13640,6,2,High Value
Business-1ddb,67,185090,49,2,High Value
Business-1ddc,1721,4504601,994,0,Low Value
Business-1df3,105,228050,13,2,High Value
Business-1df8,2,5070,2,2,High Value
Business-1dfe,7,7910,7,2,High Value
Business-1e10,218,419506,147,2,High Value
Business-1e3e,4981,13192967,166,1,Medium Value
Business-1e41,3,10000,2,2,High Value
Business-1e51,30,75765,17,2,High Value
Business-1e57,119,257985,18,2,High Value
Business-1e5b,5,8480,5,2,High Value
Business-1e5c,1,1520,1,2,High Value
Business-1e65,355,555197,286,2,High Value
Business-1e76,3,5040,3,2,High Value
Business-1e78,25,42995,22,2,High Value
Business-1e7e,2,3070,2,2,High Value
Business-1e81,3,1910,2,2,High Value
Business-1e98,348,864855,130,2,High Value
Business-1e9e,5,12240,5,2,High Value
Business-1eb4,2,1650,1,2,High Value
Business-1ebc,12,26560,2,2,High Value
Business-1ed2,159,178977,144,2,High Value
Business-1ed7,1,4100,1,2,High Value
Business-1edd,360,775735,173,2,High Value
Business-1ede,1020,2284154,560,0,Low Value
Business-1ee2,188,349081,172,2,High Value
Business-1ef9,18,38270,15,2,High Value
Business-1f08,236,546406,202,2,High Value
Business-1f0a,4,3505,3,2,High Value
Business-1f1f,26,54835,22,2,High Value
Business-1f22,5,13625,5,2,High Value
Business-1f3e,12,16690,12,2,High Value
Business-1f42,620,1308241,532,0,Low Value
Business-1f50,210,592885,78,2,High Value
Business-1f55,3058,8150138,547,1,Medium Value
Business-1f5a,75,142300,17,2,High Value
Business-1f6d,352,785008,293,2,High Value
Business-1f97,271,369156,173,2,High Value
Business-1fb5,1,5900,1,2,High Value
Business-1fe5,12,23368,5,2,High Value
Business-1feb,12,18850,8,2,High Value
Business-1ff4,2,6330,2,2,High Value
Business-2019,113,228366,77,2,High Value
Business-201d,2,3790,2,2,High Value
Business-201f,2,1355,2,2,High Value
Business-2024,7,21515,7,2,High Value
Business-2046,14,28074,13,2,High Value
Business-204e,235,558375,13,2,High Value
Business-2062,20,32940,7,2,High Value
Business-206e,13,13385,12,2,High Value
Business-2078,96,181035,60,2,High Value
Business-207d,10,12990,10,2,High Value
Business-2081,4,3435,4,2,High Value
Business-2094,3,14580,1,2,High Value
Business-20a0,8,28466,4,2,High Value
Business-20b0,11,16115,11,2,High Value
Business-20c5,3,4580,3,2,High Value
Business-20de,30,57075,16,2,High Value
Business-20e4,60,98044,34,2,High Value
Business-20e9,37,60405,28,2,High Value
Business-20fc,1137,2483153,161,0,Low Value
Business-211b,112,234926,92,2,High Value
Business-2130,623,1663365,536,0,Low Value
Business-2134,1,1520,1,2,High Value
Business-2135,4,6060,4,2,High Value
Business-213f,10,18500,9,2,High Value
Business-2147,15,50068,14,2,High Value
Business-2149,6,9905,6,2,High Value
Business-214b,2,5775,2,2,High Value
Business-2153,157,306137,154,2,High Value
Business-2159,95,202129,84,2,High Value
Business-215a,9,16496,9,2,High Value
Business-2163,113,240035,60,2,High Value
Business-2164,3,8115,3,2,High Value
Business-2177,333,871537,278,2,High Value
Business-217d,3,3360,3,2,High Value
Business-218a,234,387675,139,2,High Value
Business-2197,3327,9102473,230,1,Medium Value
Business-21a0,6,18080,4,2,High Value
Business-21c9,21,58600,10,2,High Value
Business-21e6,1,1600,1,2,High Value
Business-21e9,28,60879,23,2,High Value
Business-21ec,1,3970,1,2,High Value
Business-2213,214,427020,201,2,High Value
Business-2229,515,1681812,231,0,Low Value
Business-2235,14,26490,5,2,High Value
Business-2237,9,17795,7,2,High Value
Business-223a,387,895384,284,2,High Value
Business-2249,268,433078,160,2,High Value
Business-2254,1,6160,1,2,High Value
Business-225d,30,91200,28,2,High Value
Business-2282,224,656414,147,2,High Value
Business-228c,1,1625,1,2,High Value
Business-2295,9,19930,8,2,High Value
Business-2297,458,950582,411,0,Low Value
Business-2298,70,184965,21,2,High Value
Business-22a2,202,497570,48,2,High Value
Business-22b8,7,38439,6,2,High Value
Business-22cf,3,3920,3,2,High Value
Business-22e2,558,1232813,51,2,High Value
Business-22fd,122,206810,116,2,High Value
Business-2300,7,28170,2,2,High Value
Business-2317,2,5170,2,2,High Value
Business-2321,289,786950,43,2,High Value
Business-2326,37,126006,34,2,High Value
Business-2327,1,2490,1,2,High Value
Business-232b,3,4020,3,2,High Value
Business-232c,1,1520,1,2,High Value
Business-234d,90,205575,19,2,High Value
Business-234e,62,119320,37,2,High Value
Business-234f,4,5390,4,2,High Value
Business-2352,1,1750,1,2,High Value
Business-2366,781,1601486,597,0,Low Value
Business-2368,86,134340,83,2,High Value
Business-236a,10,18800,2,2,High Value
Business-2371,6,23490,2,2,High Value
Business-237d,30,21201,26,2,High Value
Business-238b,254,563462,75,2,High Value
Business-23a6,39,77205,9,2,High Value
Business-23a8,27,106685,8,2,High Value
Business-23ac,242,427457,182,2,High Value
